trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
105,long,2025-10-01T10:30:00Z,2025-10-02T10:30:00Z,3.3929,3.5451,39.13,132.764177,5.82,4.38,7.74,5.83,-0.52,-0.39,38.59,38.59,48,Long,Regime Flat
106,short,2025-10-05T20:00:00Z,2025-10-06T01:30:00Z,3.5323,3.5742,39.23,138.572129,-1.78,-1.29,0.18,0.13,-2.25,-1.63,36.81,36.81,11,Short,Regime Flat
107,short,2025-10-07T19:00:00Z,2025-10-08T06:30:00Z,3.4513,3.4528,39.64,136.809532,-0.2,-0.14,1.05,0.76,-1.5,-1.10,36.62,36.62,23,Short,Regime Flat
108,short,2025-10-09T08:30:00Z,2025-10-09T18:00:00Z,3.38,3.3912,40.41,136.5858,-0.59,-0.43,2.2,1.61,-2.19,-1.60,36.03,36.03,19,Short,Regime Flat
109,short,2025-10-10T19:30:00Z,2025-10-11T06:30:00Z,3.2001,2.751,42.5,136.00425,18.96,13.93,112.2,82.45,-2.73,-2.01,54.99,54.99,22,Short,Regime Flat
110,short,2025-10-11T23:30:00Z,2025-10-12T11:00:00Z,2.5478,2.4983,60.83,154.982674,2.86,1.84,6.62,4.27,-0.95,-0.61,57.84,57.84,23,Short,Regime Flat
111,long,2025-10-12T18:30:00Z,2025-10-13T07:00:00Z,2.7897,2.8259,56.58,157.841226,1.89,1.20,4.69,2.97,-3.06,-1.93,59.73,59.73,25,Long,Regime Flat
112,short,2025-10-14T10:30:00Z,2025-10-14T16:30:00Z,2.6887,2.8369,59.4,159.70878,-8.97,-5.61,2.21,1.38,-10.97,-6.86,50.77,50.77,12,Short,Regime Flat
113,short,2025-10-15T23:00:00Z,2025-10-16T06:30:00Z,2.6604,2.6885,56.67,150.764868,-1.74,-1.16,0.16,0.11,-3.26,-2.16,49.02,49.02,15,Short,Regime Flat
114,short,2025-10-17T08:00:00Z,2025-10-17T14:00:00Z,2.364,2.4049,63.03,149.00292,-2.73,-1.83,5.27,3.54,-3.93,-2.63,46.29,46.29,12,Short,Regime Flat
115,short,2025-10-21T04:30:00Z,2025-10-21T14:30:00Z,2.5042,2.5411,58.41,146.270322,-2.3,-1.57,2.02,1.38,-4.2,-2.87,43.99,43.99,20,Short,Regime Flat
116,short,2025-10-22T06:00:00Z,2025-10-22T15:00:00Z,2.4161,2.4592,59.59,143.975399,-2.71,-1.88,2.63,1.83,-2.64,-1.83,41.28,41.28,18,Short,Regime Flat
117,long,2025-10-23T13:30:00Z,2025-10-23T19:30:00Z,2.4575,2.4653,57.48,141.2571,0.31,0.22,2.57,1.82,-2.07,-1.46,41.58,41.58,12,Long,Regime Flat
118,long,2025-10-26T13:30:00Z,2025-10-27T06:00:00Z,2.6466,2.6869,53.49,141.566634,2.01,1.42,3.72,2.62,-2.46,-1.74,43.6,43.60,33,Long,Regime Flat
119,short,2025-10-29T01:00:00Z,2025-10-29T11:00:00Z,2.4958,2.51,57.53,143.583374,-0.96,-0.67,1,0.70,-1.77,-1.24,42.64,42.64,20,Short,Regime Flat
120,short,2025-10-30T14:00:00Z,2025-10-31T03:30:00Z,2.3398,2.3218,60.96,142.634208,0.96,0.67,8.09,5.67,-0.83,-0.58,43.59,43.59,27,Short,Regime Flat
121,short,2025-11-03T04:00:00Z,2025-11-04T01:00:00Z,2.2071,2.0817,65.06,143.593926,8.02,5.58,14.31,9.96,-1.45,-1.01,51.61,51.61,42,Short,Regime Flat
122,long,2025-11-07T18:00:00Z,2025-11-08T06:30:00Z,2.1357,2.1217,70.98,151.591986,-1.14,-0.75,4.44,2.93,-1.59,-1.05,50.47,50.47,25,Long,Regime Flat
123,short,2025-11-11T18:00:00Z,2025-11-12T07:30:00Z,2.0728,2.0347,72.58,150.443824,2.62,1.74,5.84,3.88,-0.63,-0.42,53.08,53.08,27,Short,Regime Flat
124,short,2025-11-13T20:30:00Z,2025-11-14T09:30:00Z,1.8362,1.8066,83.36,153.065632,2.32,1.51,6.15,4.02,-4.5,-2.94,55.4,55.40,26,Short,Regime Flat
125,short,2025-11-19T17:00:00Z,2025-11-19T21:30:00Z,1.5515,1.5772,100.15,155.382725,-2.73,-1.76,4.26,2.74,-4.46,-2.87,52.67,52.67,9,Short,Regime Flat
126,short,2025-11-20T17:30:00Z,2025-11-21T18:00:00Z,1.4985,1.3972,101.87,152.652195,10.17,6.66,18.67,12.22,-5.3,-3.47,62.84,62.84,49,Short,Regime Flat
127,long,2025-11-24T19:30:00Z,2025-11-25T08:30:00Z,1.5636,1.5242,104.14,162.833304,-4.26,-2.62,0.78,0.48,-4.86,-2.98,58.58,58.58,26,Long,Regime Flat
128,short,2025-11-26T14:30:00Z,2025-11-26T17:30:00Z,1.4875,1.5147,106.6,158.5675,-3.06,-1.93,1.96,1.23,-3.36,-2.12,55.52,55.52,6,Short,Regime Flat
129,short,2025-11-29T06:30:00Z,2025-11-29T08:30:00Z,1.5035,1.5026,103.43,155.507005,-0.06,-0.04,0.99,0.63,-0.99,-0.63,55.45,55.45,4,Short,Regime Flat
130,short,2025-12-01T01:30:00Z,2025-12-01T21:30:00Z,1.3926,1.3371,111.62,155.442012,6.04,3.89,9.98,6.42,-0.86,-0.55,61.5,61.50,40,Short,Regime Flat
131,long,2025-12-02T14:30:00Z,2025-12-03T14:00:00Z,1.4341,1.707,112.61,161.494001,30.55,18.91,39.93,24.71,-0.72,-0.45,92.05,92.05,47,Long,Regime Flat
132,short,2025-12-06T06:30:00Z,2025-12-06T09:30:00Z,1.5451,1.5312,124.3,192.05593,1.54,0.80,4.34,2.26,-0.1,-0.05,93.59,93.59,6,Short,Regime Flat
133,long,2025-12-09T18:30:00Z,2025-12-09T22:00:00Z,1.7112,1.6439,113.12,193.570944,-7.8,-4.03,0,0.00,-9.35,-4.83,85.78,85.78,7,Long,Regime Flat
