trade_number,direction,entry_time_utc,exit_time_utc,entry_price_usdt,exit_price_usdt,size_qty,size_value_usdt,net_pnl_usdt,return_pct,favorable_excursion_usdt,favorable_excursion_pct,adverse_excursion_usdt,adverse_excursion_pct,cumulative_pnl_usdt,cumulative_pnl_pct,duration_bars,entry_signal,exit_signal
105,short,2025-09-30T11:30:00Z,2025-09-30T19:30:00Z,3.2121,3.2083,41.84,134.394264,0.02,0.02,2.5,1.86,-1.41,-1.05,34.43,34.43,16,Short,Regime Flat
106,long,2025-10-01T10:30:00Z,2025-10-02T10:30:00Z,3.3929,3.5451,39.62,134.426698,5.89,4.38,7.84,5.83,-0.53,-0.39,40.32,40.32,48,Long,Regime Flat
107,short,2025-10-05T20:00:00Z,2025-10-06T01:30:00Z,3.5323,3.5742,39.72,140.302956,-1.81,-1.29,0.18,0.13,-2.28,-1.63,38.52,38.52,11,Short,Regime Flat
108,short,2025-10-07T19:00:00Z,2025-10-08T06:30:00Z,3.4513,3.4528,40.13,138.500669,-0.2,-0.14,1.06,0.76,-1.52,-1.10,38.32,38.32,23,Short,Regime Flat
109,short,2025-10-09T08:30:00Z,2025-10-09T18:00:00Z,3.38,3.3912,40.92,138.3096,-0.6,-0.43,2.23,1.61,-2.21,-1.60,37.72,37.72,19,Short,Regime Flat
110,short,2025-10-10T19:30:00Z,2025-10-11T06:30:00Z,3.2001,2.751,43.03,137.700303,19.2,13.93,113.59,82.45,-2.77,-2.01,56.92,56.92,22,Short,Regime Flat
111,short,2025-10-11T23:30:00Z,2025-10-12T11:00:00Z,2.5478,2.4983,61.59,156.919002,2.89,1.84,6.7,4.27,-0.96,-0.61,59.81,59.81,23,Short,Regime Flat
112,long,2025-10-12T18:30:00Z,2025-10-13T07:00:00Z,2.7897,2.8259,57.28,159.794016,1.91,1.20,4.75,2.97,-3.09,-1.93,61.73,61.73,25,Long,Regime Flat
113,short,2025-10-14T10:30:00Z,2025-10-14T16:30:00Z,2.6887,2.8369,60.14,161.698418,-9.08,-5.61,2.24,1.38,-11.1,-6.86,52.65,52.65,12,Short,Regime Flat
114,short,2025-10-15T23:00:00Z,2025-10-16T06:30:00Z,2.6604,2.6885,57.37,152.627148,-1.77,-1.16,0.16,0.11,-3.3,-2.16,50.88,50.88,15,Short,Regime Flat
115,short,2025-10-17T08:00:00Z,2025-10-17T14:00:00Z,2.364,2.4049,63.82,150.87048,-2.76,-1.83,5.34,3.54,-3.97,-2.63,48.12,48.12,12,Short,Regime Flat
116,short,2025-10-21T04:30:00Z,2025-10-21T14:30:00Z,2.5042,2.5411,59.14,148.098388,-2.33,-1.57,2.05,1.38,-4.26,-2.87,45.79,45.79,20,Short,Regime Flat
117,short,2025-10-22T06:00:00Z,2025-10-22T15:00:00Z,2.4161,2.4592,60.34,145.787474,-2.75,-1.88,2.67,1.83,-2.67,-1.83,43.04,43.04,18,Short,Regime Flat
118,long,2025-10-23T13:30:00Z,2025-10-23T19:30:00Z,2.4575,2.4653,58.2,143.0265,0.31,0.22,2.6,1.82,-2.09,-1.46,43.35,43.35,12,Long,Regime Flat
119,long,2025-10-26T13:30:00Z,2025-10-27T06:00:00Z,2.6466,2.6869,54.16,143.339856,2.04,1.42,3.76,2.62,-2.49,-1.74,45.39,45.39,33,Long,Regime Flat
