Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USDT,Return %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative PnL USDT,Cumulative PnL %,Duration (bars)
21,Exit short,2025-03-08 21:00,Regime Flat,2.5731,41.41,106.108984,-0.55,-0.52,1.26,1.19,-1.15,-1.08,5.58,5.58,6
21,Entry short,2025-03-08 18:00,Short,2.5624,41.41,106.108984,-0.55,-0.52,1.26,1.19,-1.15,-1.08,5.58,5.58,6
22,Exit short,2025-03-10 09:30,Regime Flat,2.3405,44.62,105.57092,1.03,0.98,5.11,4.83,-0.66,-0.62,6.62,6.62,20
22,Entry short,2025-03-09 23:30,Short,2.366,44.62,105.57092,1.03,0.98,5.11,4.83,-0.66,-0.62,6.62,6.62,20
23,Exit short,2025-03-11 13:30,Regime Flat,2.1853,52.09,106.612603,-7.33,-6.87,4.31,4.04,-8.1,-7.59,-0.71,-0.71,10
23,Entry short,2025-03-11 08:30,Short,2.0467,52.09,106.612603,-7.33,-6.87,4.31,4.04,-8.1,-7.59,-0.71,-0.71,10
24,Exit long,2025-03-15 10:30,Regime Flat,2.3352,41.82,99.293226,-1.73,-1.75,0.47,0.48,-2.99,-3.01,-2.45,-2.45,22
24,Entry long,2025-03-14 23:30,Long,2.3743,41.82,99.293226,-1.73,-1.75,0.47,0.48,-2.99,-3.01,-2.45,-2.45,22
25,Exit short,2025-03-17 00:30,Regime Flat,2.2858,43.19,97.527339,-1.29,-1.33,2.24,2.30,-1.88,-1.92,-3.74,-3.74,10
25,Entry short,2025-03-16 19:30,Short,2.2581,43.19,97.527339,-1.29,-1.33,2.24,2.30,-1.88,-1.92,-3.74,-3.74,10
26,Exit short,2025-03-22 03:00,Regime Flat,2.2716,41.65,96.25315,1.55,1.60,2.83,2.94,-0.43,-0.45,-2.2,-2.20,27
26,Entry short,2025-03-21 13:30,Short,2.311,41.65,96.25315,1.55,1.60,2.83,2.94,-0.43,-0.45,-2.2,-2.20,27
27,Exit long,2025-03-25 05:00,Regime Flat,2.4173,40.99,97.798041,1.19,1.21,2.63,2.69,-0.54,-0.55,-1.01,-1.01,23
27,Entry long,2025-03-24 17:30,Long,2.3859,40.99,97.798041,1.19,1.21,2.63,2.69,-0.54,-0.55,-1.01,-1.01,23
28,Exit long,2025-03-26 10:30,Regime Flat,2.4642,40.33,98.965787,0.32,0.32,1.66,1.67,-1,-1.01,-0.69,-0.69,14
28,Entry long,2025-03-26 03:30,Long,2.4539,40.33,98.965787,0.32,0.32,1.66,1.67,-1,-1.01,-0.69,-0.69,14
29,Exit long,2025-03-27 00:00,Regime Flat,2.5625,37.95,99.311355,-2.16,-2.18,1.35,1.36,-2.69,-2.71,-2.85,-2.85,8
29,Entry long,2025-03-26 20:00,Long,2.6169,37.95,99.311355,-2.16,-2.18,1.35,1.36,-2.69,-2.71,-2.85,-2.85,8
30,Exit long,2025-03-27 20:00,Regime Flat,2.7245,34.53,97.13289,-3.15,-3.24,0.17,0.18,-3.53,-3.63,-6,-6.00,7
30,Entry long,2025-03-27 16:30,Long,2.813,34.53,97.13289,-3.15,-3.24,0.17,0.18,-3.53,-3.63,-6,-6.00,7
31,Exit short,2025-03-29 07:00,Regime Flat,2.5195,36.51,93.994995,1.92,2.04,3.76,4.00,-1.35,-1.43,-4.09,-4.09,29
31,Entry short,2025-03-28 16:30,Short,2.5745,36.51,93.994995,1.92,2.04,3.76,4.00,-1.35,-1.43,-4.09,-4.09,29
32,Exit short,2025-03-30 09:30,Regime Flat,2.3046,41.36,95.901432,0.49,0.51,2.88,3.00,-1.13,-1.18,-3.6,-3.60,28
32,Entry short,2025-03-29 19:30,Short,2.3187,41.36,95.901432,0.49,0.51,2.88,3.00,-1.13,-1.18,-3.6,-3.60,28
33,Exit short,2025-04-02 17:00,Regime Flat,2.3924,41.33,96.38156,-2.59,-2.69,0.64,0.67,-2.59,-2.68,-6.2,-6.20,5
