time,open,high,low,close,Volume
1735801200,4.3261,4.3915,4.3216,4.3706,8544386.1667999998
1735803000,4.3711,4.3959,4.3595,4.375,4192905.9747000001
1735804800,4.3751,4.3833,4.3409,4.3469,5091397.0664999997
1735806600,4.3474,4.3697,4.3339,4.3673,3854840.0883999998
1735808400,4.3672,4.3953,4.3567,4.3941,4513001.7128999997
1735810200,4.3936,4.4322,4.3756,4.4142,7529773.9989
1735812000,4.4145,4.441,4.4035,4.4356,5717362.1490000002
1735813800,4.4351,4.4493,4.4221,4.4308,4791829.9740000004
1735815600,4.4312,4.4644,4.4312,4.4589,6356922.8711999999
1735817400,4.459,4.4659,4.4304,4.4364,5473780.9859999996
1735819200,4.4369,4.4485,4.4135,4.4184,3895213.4868000001
1735821000,4.4185,4.4249,4.4071,4.4172,3538853.4460999998
1735822800,4.4171,4.435,4.4035,4.4221,4737551.9091999996
1735824600,4.4221,4.4247,4.3813,4.3822,5809384.2455000002
1735826400,4.3828,4.3911,4.3488,4.3656,9110135.6842
1735828200,4.3659,4.415,4.3589,4.4055,13721207.7493999992
1735830000,4.4052,4.4564,4.3871,4.4017,15333158.2661000006
1735831800,4.4017,4.4114,4.377,4.3881,5119623.2747
1735833600,4.3878,4.4032,4.3681,4.3998,4754835.0955999997
1735835400,4.3998,4.4125,4.3775,4.3804,4100117.5405000001
1735837200,4.3804,4.4099,4.3725,4.3744,2918444.6072
1735839000,4.374,4.3741,4.311,4.3393,7648477.8267999999
1735840800,4.3388,4.3554,4.3227,4.3441,2885201.0307
1735842600,4.3452,4.3613,4.333,4.3519,1921651.7102999999
1735844400,4.3519,4.371,4.3451,4.3633,1564674.3100999999
1735846200,4.3633,4.3633,4.343,4.344,1712432.273
1735848000,4.344,4.3821,4.344,4.3717,1734560.1738
1735849800,4.3715,4.379,4.3502,4.3606,1414420.2859
1735851600,4.361,4.3941,4.3592,4.3782,2703668.8832999999
1735853400,4.3772,4.3772,4.3547,4.3596,1325286.0097000001
1735855200,4.3595,4.3595,4.3223,4.3374,2531856.8613999998
1735857000,4.3374,4.3602,4.3374,4.3526,1599111.4953000001
1735858800,4.3523,4.3571,4.3391,4.3536,1641834.2117999999
1735860600,4.3531,4.3633,4.3463,4.3523,1729223.0885000001
1735862400,4.3529,4.3698,4.339,4.3679,2598958.9951999998
1735864200,4.3674,4.3695,4.3292,4.3309,1859395.2627000001
1735866000,4.3309,4.3412,4.3101,4.319,3259493.7250000001
1735867800,4.3192,4.339,4.3057,4.3266,2977065.3465999998
1735869600,4.3266,4.3565,4.3134,4.3449,4424567.9831999997
1735871400,4.3449,4.3598,4.3235,4.3257,3269506.5293000001
1735873200,4.3257,4.3479,4.3245,4.3439,1726499.4210000001
1735875000,4.3439,4.3783,4.3374,4.3756,1728360.1306
1735876800,4.375,4.4039,4.3411,4.3483,9527765.3120000008
1735878600,4.3483,4.3821,4.348,4.366,3789242.9478000002
1735880400,4.3661,4.3718,4.3376,4.3476,2888166.8251
1735882200,4.3477,4.364,4.3442,4.3627,1596240.8243
1735884000,4.3629,4.3794,4.3508,4.3517,2713037.8100000001
1735885800,4.3518,4.3543,4.318,4.3218,4710678.5615999997
1735887600,4.3217,4.3297,4.3005,4.3112,6107393.6973000001
1735889400,4.3112,4.321,4.2722,4.3006,10288898.7162999995
1735891200,4.3006,4.3253,4.292,4.3008,6226979.0066
