direction,entry_time,exit_time,entry_price,exit_price,size,net_pnl,profit_pct
long,2025-07-08T12:15:00+00:00,2025-07-11T21:30:00+00:00,13.497,15.353970388513279,21.87,40.29645703558702,13.651514435200578
short,2025-07-12T16:00:00+00:00,2025-07-12T23:45:00+00:00,14.888,15.102551592453104,14.370000000000001,-3.298588496742875,-1.541824746435587
long,2025-07-13T00:00:00+00:00,2025-07-14T15:45:00+00:00,15.097,15.905788223649264,14.74,11.693047867381862,5.254599122590182
short,2025-07-15T03:15:00+00:00,2025-07-15T16:00:00+00:00,15.255,15.744717485950558,6.63,-3.3495909953181178,-3.3118147800297084
long,2025-07-15T17:45:00+00:00,2025-07-15T19:45:00+00:00,16.129,15.573663467587945,5.73,-3.2729064615557224,-3.5413718404479524
short,2025-07-22T09:00:00+00:00,2025-07-22T11:00:00+00:00,18.71,19.3144671307209,5.15,-3.2109187260742345,-3.332332251663597
long,2025-07-22T12:30:00+00:00,2025-07-22T14:00:00+00:00,19.156,18.782956711387204,8.18,-3.2066644338022368,-2.046422880395117
short,2025-07-23T07:15:00+00:00,2025-07-25T07:15:00+00:00,19.308,17.514,10.620000000000001,18.856755180000007,9.196131137352397
long,2025-07-26T04:00:00+00:00,2025-07-28T11:15:00+00:00,18.373,18.9980602006802,13.700000000000001,8.307332986944068,3.3003574298147225
short,2025-07-28T15:15:00+00:00,2025-07-30T15:15:00+00:00,18.542,17.524,11.23,11.229629410000006,5.3929834969259005
long,2025-07-31T10:00:00+00:00,2025-07-31T11:30:00+00:00,18.143,17.98615845234718,23.96,-4.190750800020708,-0.9640419273493606
short,2025-07-31T12:30:00+00:00,2025-08-02T12:30:00+00:00,17.84,15.923,13.48,25.613597379999998,10.650888452914797
long,2025-08-03T22:30:00+00:00,2025-08-05T04:00:00+00:00,16.292,16.741153647692283,21.51,9.306023394380036,2.6555184806557506
short,2025-08-05T16:15:00+00:00,2025-08-06T14:45:00+00:00,16.377,16.633413108383426,17.05,-4.653257269686398,-1.6664731937327877
long,2025-08-06T16:30:00+00:00,2025-08-10T12:00:00+00:00,16.629,21.444909505985606,18.650000000000002,89.46167308048823,28.846428235207238
short,2025-08-11T20:45:00+00:00,2025-08-12T02:30:00+00:00,21.304,21.70715893139478,15.05,-6.391200888450204,-1.9933557588268807
long,2025-08-12T14:15:00+00:00,2025-08-13T14:15:00+00:00,23.154,23.37301593404414,4.8500000000000005,0.9493992664740243,0.8454367542416791
short,2025-08-14T13:30:00+00:00,2025-08-16T13:30:00+00:00,22.714,21.77,7.76,7.152842079999992,4.0581051333979
long,2025-08-16T21:00:00+00:00,2025-08-18T02:15:00+00:00,22.607,24.888124886638007,18.35,41.42287389897253,9.985302447006186
short,2025-08-19T16:30:00+00:00,2025-08-20T07:15:00+00:00,24.19,24.791434150212122,9.25,-5.789805022406852,-2.587535623345296
long,2025-08-20T10:15:00+00:00,2025-08-21T05:15:00+00:00,24.888,25.54006373675142,11.85,7.428169002864063,2.5186825172092706
short,2025-08-21T17:45:00+00:00,2025-08-22T14:00:00+00:00,24.855,25.46824960208325,11.35,-7.245967425136716,-2.5685424537690293
long,2025-08-22T16:30:00+00:00,2025-08-23T01:00:00+00:00,27.595,26.518846143774905,6.33,-6.983324232949893,-3.997864755560723
short,2025-08-24T07:00:00+00:00,2025-08-24T17:30:00+00:00,25.729,26.00297610905541,24.38,-7.31015032754031,-1.1653857402539503
long,2025-08-24T18:30:00+00:00,2025-08-24T19:30:00+00:00,26.364,25.728556868271564,10.28,-6.800111136471244,-2.509063154917966
short,2025-08-25T01:00:00+00:00,2025-08-25T01:45:00+00:00,25.749,26.241380296687957,12.99,-6.7336975740035685,-2.0131868687572427
